userName,content,sentiment,at
Ryo Ardiansyah,"27-08-2023: Iklan nya terlalu banyak buat saya muak , tp dari segi postingan dan reels sudah membaik karena sebulan lalu ngebug g bisa full layar. Masalah utama nya y iklan itu sekian terima kasih. Saran iklan nya di beranda saja jangan story ataupun kolom pencarian terlalu mengganggu banget. 23-09-2024: tambah parah 3xngatur postingan gk bisa di upload stuck di memuat doang padahal jaringan bagus gk ad kendala, story juga udah ngatur nya susah² eh muncul kesalahan apa sih? Di arsip ilang juga",negatif,2024-09-24 06:10:44
Anatasia Maya,"Saya kasih bintang 5, tapi jangan hilangin arsip IG. Sayang banget kalau arsip IG ga ada. Saya yakin sekali, kalau Instagram membuat fitur seperti ini akan sepi peminat. Kami suka main Instagram karena ada arsipnya, jadi ga perlu simpan di galeri, di IG juga bisa. Buatlah fitur yang penting bukan krn fitur sesuai keinginan anda. Bikin lagu di catatan aja sebenant ga penting krn bisa bikin di story Instagram loh. Pokoknya jangan hilangin arsip Instagram yaaa nangis bgt klo sampe hilang🥹😭😭",positif,2024-09-24 12:01:17
tyxndre4,"kecewa Instagram ngeselin ny minta ampun. pas masuk ngeleg terus. dan mau masuk aja Instagram nya langsung ngeleg update terus, tambah ngeleg tambah ga bagus Instagram skrng. tolong ,perbaiki lagi Instagram nya sngt kecewa ga kaya dulu skrng jd jelek bgt.",negatif,2024-09-24 18:28:49
Dinda Marpaung,"Instagram sebaiknya tetap mempertahankan fitur Archive Story, karena fitur ini sangat berguna untuk menyimpan kenangan dan momen berharga tanpa harus membagikannya secara permanen di profil. Selain itu, fitur ini memudahkan pengguna untuk melihat kembali cerita lama kapan saja, menjaga privasi, namun tetap bisa mengakses kenangan dengan mudah. Menghapus fitur ini akan mengurangi pengalaman pengguna yang sudah terbiasa menggunakannya.",negatif,2024-09-24 19:45:17
Ela Champion,"Kenapa sekarang sorotan tidak bisa di simpan, fitur musik juga hilang dati feed, tolong diperbaiki ya.. Kalau masalah nya belum di update.. Saya sudah update aplikasi nya.. Tetap saja tidak bisa",negatif,2024-09-24 20:57:00
Dedy Richard,"apasih makin ngaco, kmrn suka ngebug gabisa nyimpen foto, udh akal akalin pakai segala cara ttp gbsa, terpaksa hps semua data ni apk. eh skrg mlh gabisa nyimpan vidio reel yg kita buat sendiri, mna gda tombol ""save/simpan"", kmrn bisa di akalin, cm pakai cara simpan draft krn otomatis masuk ke galeri, skrg nyimpan draft aj ga masuk galeri, udh gt gd fitur simpan/save lgi, ky mn mw masuk galeri. masa iya hrs posting dl baru save, udh ribet+keliatan watermark nya, tlng perbaiki ni fitur, geram gua.",negatif,2024-09-24 22:09:20
dek hulu,"Tolong dong beri sedikit kebebasan untuk live, dan tolong jangan dikit dikit pelanggaran🤬 makin di update makin ketat aturan nya nanti lama lama gue hapus juga nanti kalau di persulit pengguna Instagram Semoga kembali seperti semula bebas dan leluasa menikmati reel favorit🙏",positif,2024-09-25 11:58:16
Lrs Alita,"Saya sudah 3 kali kehilangan akun, da selalu bermasalah untuk login. Aplikasi yang buruk, keamanan buruk, sama sekali tidak ada peningkatan",negatif,2024-09-25 13:04:38
Jangan Kepo,Kalau ada bintang 0 pasti gua kasiu bintang 0 tiap mau upload reels selalu gagal dan lama. Belum lagi pesan yg selalu eror tolong lag kalau update tuh ditingkatin semua fiturnya apk kocak.,negatif,2024-09-25 22:58:16
Khairiyatul Jannah,"Bintang 1 karena Ig sekarang gk seru,yg di arsipan jangn di hapus dong banyak kenangan nya,sayang klo hilang padahl sengaja simpan di arsipan malah sekarang ada fitur baru arsipan hilang secara perlahan ,mna yg hilang video, video tu kn kangan pling seru klo di lihat"",jangn di hapus lh masalah nya kangan nya dari zaman smp🥺di simpan di gelri semuajadi nya memo pnuh, TOLONG DONG FOTO"" & VIDEO"" DIARSIPAN JANGAN DI HAPUS .... ................🥺😔🙏🙏",negatif,2024-09-25 23:21:13
rahmaa fadhilah,"suka banget sama instagramm, aku download dari aku masih kelas 5 sekolah dasar sampe sekarang aku udah tamat sekolah masih di akun yang sama dan aku selalu bangga sama instagram. sedikit ulasan aja for developer plisss fitur archive story jangan di ilangin yaa, itu ngebantu banget kalo mau bikin sorotan atau mau simpen kenangan selain di galeri. karna di galeri mudah ke hapus sendiri, jadi tolong banget jangan sampe di ilangin yaa archive story/arsip cerita nyaa tolooonggg bangettt makasiih",positif,2024-09-26 05:05:59
rnr07 jumpalibas,"tolong perbaikin bug, saya upload story Ig di akun kedua saya,terus saya tag di akun pertama saya storynya gamuncul mlh hilng. sama akun Ig utama saya kurang update sedangkan yg kedua udh versi baru",negatif,2024-09-26 06:12:40
Kaji Rozaq,"serius ini story archive Instagram di ilangin???story archives Instagram ku juga pd ilang , pdhl sengaja selama ini nyimpen kenangan di story IG krna biar memori gk full dan kpn kpn bisa dilihat. otw g pake instagram lagi klo kyk gini, kecewa berattttt. saran aku sih jangan gegabah ya!!",negatif,2024-09-26 11:13:18
Eriel Jacho,"Sy udah update masih ga bs downloax foto2 di arsip,juga ga bisa balikin ke feed. Mestinya upgrade malah downgrade. Jd bintangnya juga downgrade ke Bintang 1.",negatif,2024-09-26 12:55:45
Xen122 Xen-,"aplikasi nya bagus,cuman kenapa setiap kita ingin ganti password yang lupa tidak verifikasi ke nomor atau ke email kita sendiri,malah harus email dari Instagram nya,saya lupa apa kata sandi ig saya,dan saya saat ingin mengganti kata sandi ig saya tapi loading nya sangat lama,bahkan tidak akan bisa muncul",negatif,2024-09-26 16:13:14
Rahma Amaliaputri,mohon jangan hapus arsip Instagram karna itu alasan saya dan mungkin banyak orang juga untuk menggunakan Instagram dan menyimpan memory kehidupan di sana akan tetap bintang 5 jika terhapus saya akan memberikan ulasan buruk❗❗❗❗,positif,2024-09-26 16:31:32
Nurhasanah nuy,"ini kenapa ya Instagram, tadi pagi habis di update, sekarang malah ga bisa di buka samsek?? ke log out sendiri masaa, padahal nungguin tiba tiba keluar tiba tiba keluar, terus ga ada pemberitahuan Ig yang masuk satupun, kenapa yaa tolong dongg, habis di update bukan nya ga bermasalah ini malah bermasalah kaya gini, ayoo dong pihak Instagram gimana ini, baru di update lhoo Instagram saya, masa tiba tiba ga bisa di buka, ga ada pemberitahuan pula, kaya pemberitahuan DM atau apapun itu samsek ga ad",positif,2024-09-26 16:56:50
Nurul Juliyanti,"ini saya kasih bintang 5, but jangan sampe fitur arsip di ilangin please, karena dari semua fitur yang ada, arsip instagram jadi salah satu fitur paling berguna, kalo fitur ini hilang pasti jadi sedikit peminat. pokonya tolong pertahankan fitur arsip, kalo yang lain mau di ilangin juga gapapa, BUT FITUR ARSIP JANGAN SAMPE ILANG POKONYA.",positif,2024-09-26 19:18:47
Kheista Cahaya Katresna,"Instagram ini sangat-sangat membantu. Namun yang saya sayangkan itu katanya instagram akan menghapus fitur arsip story, setelah saya cari tahu juga ternyata banyak yang kecewa karena hal ini, saya pun begitu, karena itu kepada pihak instagram atau meta, arsip story ini sangat penting bagi saya & mungkin bagi sebagian orang lainnya, karena ini bisa mengenang kembali & menyimpan kenangan kami, maka dari itu saya pikir jangan hapus fitur arsip story. Terima kasih.",negatif,2024-09-26 20:03:43
Anisa Oktaviani,"saya beri bintang 5 asalkan Instagram tetap mempertahankan fitur Archive Story, karena fitur ini sangat berguna untuk menyimpan kenangan dan momen berharga tanpa harus membagikannya secara permanen di profil.",positif,2024-09-26 20:50:36
Maria Merlin Berliani,"Bisa diem gak sih? Instagram sekarang udah paling bagus menurutku, kamarin2 bikin fitur flipside yang useless, sekarang fitur arsip ig yang justru penting malah dihapus. Kenapa nggak bikin fitur posting ulang aja? Aku kasi bintang 1 krn gak ada bintang 0👎",negatif,2024-09-26 20:53:32
32_VANIA KHANSADILA. A.R,"gajelas bgt, tiba"" hari ini g bisa di buka, udah bolak balik hapus install ttp eror, bisa ke buka sekali aja habis install itu, terus pas keluar apk mau masuk lagi malah item doang , gajelas tiba"" bgt !!!",negatif,2024-09-26 21:43:08
A_013_I Gusti Agung Dwi Intan Pratiwi,"semakin lama, semakin gajelas. klo mau ngisi fitur baru yg bermanfaat dikit, lebih bagus perbaiki & isi fitur siapa aja yg udah ga ngikutin kita drpd tbtb ngapus archive-an. terus fungsi isi highlight di profile untuk apa klo archive-an lama dihapus? ngantuk ya?",negatif,2024-09-26 23:49:16
dwi amelia,"Tolong pihak Instagram saya memohon agar developer tidak menghapus fitur archive di Instagram karena banyak yang menentangnya, banyak yang sengaja upload story agar bisa disimpan di archive, jika di hapus fitur ini, banyak yang akan uninstall aplikasi ini. Mohon pengertiannya sekali lagi 🙏🏻🙏🏻",netral,2024-09-27 00:54:47
Anisa Anisa,"Instagram sebaiknya tetap mempertahankan fitur Archive Story, karena fitur ini sangat berguna untuk menyimpan kenangan dan momen berharga tanpa harus membagikannya secara permanen di profil. kasih bintang 2 dulu nanti kalau fitur arsip sudah balik semula aku beri ulasan lagi.",negatif,2024-09-27 05:41:44
Anisa Kumalasari,"terlalu banyak fitur yang tidak berguna, arsip story vidio malah ngefreeze mohon di kembalikan seperti semula, padahal tujuan up story biar bisa dilihat ulang kenangan² nya.",negatif,2024-09-27 05:44:03
FAJAR RIZQI AKBAR,saya mendengar kalau fitur archive akan segera di hapus apakah benar?? jika memang benar.... tolong untuk jangan sampai hapus fitur archive tersebut..... karna banyak orang yang memanfaatkan fitur tersebut untuk menyimpan sebuah kenangan,negatif,2024-09-27 06:26:33
Santi Difinubun,"Saya kasih bintang lima, tetapi jangan menghapus fitur arsip pada aplikasi ini. Fitur ini sangat bermanfaat bagi kami yang ingin menyimpan kenangan dan bisa di lihat kembali kapan pun. Banyak kenangan yang sudah kami bagikan dan simpan pada arsip dan tidak ingin di hilangkan, maka dari itu tolong jangan di hapus fitur tersebut🥺🙏🏻",positif,2024-09-27 07:43:04
Erika Aprianti,"tolong ya kpd pihak instagram utk tidak menghilangkan fitur arsip sorotan di ig karna arsi itu sgt menguntungkan bagi kami,utk kak menyimpan kenangan’ bersama keluarga dan teman teman,satu lagi,tolong tingkatkan kualitas video di status ig nya,setiap kali saya post video pasti selalu nge blur 🙏🏻",negatif,2024-09-27 08:55:45
Silky Ezra Alawiya,kalo sampe fitur arsip dihilangkan gabakalan make ig lagi!!! pliss dong kami semua mau pake apk ini karna fitur arsipnya. klo fitur arsip ilang udah gada spesialnya ni apk mending di apus aja akunnya dan ga akan pernah pake ni apk lagi!!! plis kecewa beratt,positif,2024-09-27 14:09:26
Giah S,kenapa saya tidak memberikan 5 bintang karena di berbincang sosmed apakah benar meta akan menghapus arsip ig?? menurut saya arsip itu sangat penting karena kita bisa melihat moment² yang sudah kita posting dan semisal di galeri hilang atau gimana kita bisa melihat di arsip,positif,2024-09-27 20:28:22
Laura Angels M.,"Tolong arsip IG jangan dihapus/diubah, banyak arsip stories saya yang sudah tidak bisa dilihat. Saya sudah unduh/transfer informasi malah zipnya tidak bisa dibuka medianya. Tolong bgt, bisa tidak yang lain aja, jangan arsip IG yg dihapus🙂",negatif,2024-09-27 20:48:30
Jennifer Sonia,"Jangan hilangkan fitur archive story & postingan karena itu satu satunya cara untuk menciptakan memori tentang hidup untuk dikenang di kemudian hari layaknya e-diary. Aku salah satu tipe orang yang suka melihat kembali archive story & postingan yang lama sekedar untuk mengenang memori pada masa ituu. Jadi mohon untuk tidak menghapus fitur archive story dan postingan. Jika mau, hapus saja fitur catatan pada postingan.",negatif,2024-09-27 23:05:21
Ju Eria,Untuk pihak Instagram kenapa akun saya tiba tiba kena banding ya padahal saya ga pernah nge pos2 yang gak gak komen yang gak gak juga engga saya cuman buat scrol scrol reel doang kok. Bisa kaya gini sih tolong ya. Untuk pihak Instagram,negatif,2024-09-27 23:11:56
Antan Bahrul,"Tolong dong masa hp saya kamerany udaa 108mp , support 4K , kenapa yaa setiap upload story selalu buram hasil nya , ini PR sih buat IG , apa harus selalu merek hp tertentu saja yang dapet fitur jernih kalo upload story ?",negatif,2024-09-27 23:29:29
Britney Alexandra,"Duuhhh ig lagi bermasalah kah?? Mohon segera di betulkan lagi ya... Kenapa pada saat saya ingin memposting cerita orang lain malah muncul kata 'Kesalahan' maksudnya gimana? Pdhl wifi lancar lancar aja tuh, memori juga udah saya hapuskan.. Tolong dong segera diperbaiki yah saya jadi tidak leluasa untuk memposting beberapa foto, video, atau cerita orang lain. Terimakasih 🙏🏻🙏🏻",positif,2024-09-28 04:41:48
_Capricon_,"Tolong fitur arsip story jangan dihilangkan,‼️❗ karena dengan adanya fitur arsip story, kita dapat melihat lagi apa saja yang pernah kita bagikan kepada yang lain, terimakasih.",positif,2024-09-28 06:27:31
Lathifah Azzahra,"Dear instagram, jangan pernah menghapus fitur arsip, but semua kenangan kami ada disana, mulai dari saya SMP sampai Kuliah sekarang, mulai dari tahun 2015 kenangan saya ada di arsip itu, itupun yang tahun 2015 sampai 2020 sudah tidak bisa lagi video arsip nya diputar, why??? Kembalikan kenangan kamiii!!!😢😭 saya sangat kecewa saat memutar kembali kenangan saya di arsip pada tahun 2015 sampai 2020 i'm so sad melihat isu tentang instagram akan menghapus fitur arsip😭 sekali lagi, saya kecewa!",negatif,2024-09-28 06:42:47
khalidah lid,"saya sudah kasih bintang 4, plissss ig jangan pernah hapus fitur archive story😭😭😭😭😭 terimakasih karna dengan adanya fitur itu saya dapat melihat kenangan yang lalu, sekali lagi mohon untuk tidak menghilangkan fitur arsip story, terimakasih",positif,2024-09-28 07:28:39
Agung Maha,"Hp autolock 1 menit jika tidak digunakan. Ini lagi asik nonton postingan yg durasinya lebih dari 1 menit, tiba2 layar mati (ngikutin autolock), begitu dibuka lagi harus nonton lagi dari awal... Kenapa gak kayak reels, selama ada video layar ga bakal mati.",negatif,2024-09-28 08:07:41
M. Ariq,"Satu yang saya keluhkan, adalah fitur arsip yang lama kelamaan mulai bermasalah dan dari kabar nya akan hilang. Saya harap ini tidak terjadi, tolong perbaiki dan ubah kebijakannya🙏 Jangan hapus fitur ini, terimakasih.",negatif,2024-09-28 08:25:07
